date,firstname,lastname,flyinghours,numberofpassengers,ticketsold,seatsvacant,delaystatus,flightsource,flightdestination
1990-01-01,holly,johnson,9,78,31,47,on-time,ccu,hyd
1990-01-02,cody,johnson,5,238,56,182,delayed,trv,amd
1990-01-03,barbara,coleman,4,57,32,25,delayed,ccu,trv
1990-01-04,jeremy,foster,8,56,47,9,delayed,goi,amd
1990-01-05,kelli,parker,5,164,101,63,delayed,blr,cok
1990-01-06,steve,gonzalez,6,121,49,72,delayed,maa,bom
1990-01-07,jon,robinson,4,147,42,105,on-time,maa,hyd
1990-01-08,christopher,cooper,4,236,147,89,delayed,amd,bom
1990-01-09,joshua,perez,8,125,110,15,on-time,trv,ccu
1990-01-10,adam,frost,9,67,32,35,delayed,hyd,bom
1990-01-11,nancy,hood,5,271,55,216,on-time,hyd,goi
1990-01-12,jose,mendoza,9,263,123,140,delayed,maa,amd
1990-01-13,tammy,sanders,5,221,98,123,delayed,trv,blr
1990-01-14,jenny,zimmerman,8,236,92,144,delayed,cok,amd
1990-01-15,sean,foley,6,286,142,144,on-time,del,hyd
1990-01-16,audrey,jimenez,4,256,110,146,on-time,hyd,bom
1990-01-17,jennifer,hansen,5,283,271,12,on-time,ccu,goi
1990-01-18,tyler,perez,7,276,264,12,on-time,blr,maa
1990-01-19,jesus,torres,5,113,101,12,on-time,trv,amd
1990-01-20,jessica,ware,8,152,76,76,delayed,blr,trv
1990-01-21,andrew,vazquez,7,73,33,40,delayed,blr,ccu
1990-01-22,jessica,herrera,9,158,46,112,on-time,amd,goi
1990-01-23,edward,bowen,8,114,100,14,delayed,bom,trv
1990-01-24,travis,holmes,6,246,194,52,on-time,bom,maa
1990-01-25,dennis,fleming,7,90,59,31,delayed,hyd,trv
1990-01-26,deborah,wise,5,179,57,122,on-time,goi,ccu
1990-01-27,lisa,gibson,5,145,127,18,delayed,goi,trv
1990-01-28,mark,nguyen,4,203,112,91,on-time,del,blr
1990-01-29,linda,suarez,6,274,242,32,on-time,ccu,del
1990-01-30,katelyn,anderson,5,274,175,99,delayed,bom,goi
1990-01-31,james,solis,4,300,94,206,delayed,cok,trv
1990-02-01,matthew,myers,5,117,97,20,on-time,ccu,trv
1990-02-02,albert,kramer,9,226,81,145,on-time,amd,maa
1990-02-03,jodi,schmitt,7,280,162,118,on-time,bom,hyd
1990-02-04,mark,gregory,5,66,51,15,delayed,trv,goi
1990-02-05,jennifer,dunn,5,200,86,114,delayed,bom,del
1990-02-06,rachael,kennedy,5,67,32,35,on-time,bom,trv
1990-02-07,robert,quinn,5,121,115,6,on-time,ccu,trv
