date,firstname,lastname,flyinghours,numberofpassengers,ticketsold,seatsvacant,delaystatus,flightsource,flightdestination
1995-01-01,howard,ortiz,9,78,31,47,on-time,ccu,hyd
1995-01-02,anthony,lloyd,5,238,56,182,delayed,trv,amd
1995-01-03,briana,jackson,4,57,32,25,delayed,ccu,trv
1995-01-04,curtis,sanchez,8,56,47,9,delayed,goi,amd
1995-01-05,dawn,wilson,5,164,101,63,delayed,blr,cok
1995-01-06,katherine,lewis,6,121,49,72,delayed,maa,bom
1995-01-07,greg,parker,4,147,42,105,on-time,maa,hyd
1995-01-08,joseph,bush,4,236,147,89,delayed,amd,bom
1995-01-09,shawn,clark,8,125,110,15,on-time,trv,ccu
1995-01-10,james,mckee,9,67,32,35,delayed,hyd,bom
1995-01-11,amanda,snow,5,271,55,216,on-time,hyd,goi
1995-01-12,russell,merritt,9,263,123,140,delayed,maa,amd
1995-01-13,kristina,reed,5,221,98,123,delayed,trv,blr
1995-01-14,heather,hopkins,8,236,92,144,delayed,cok,amd
1995-01-15,stephen,rhodes,6,286,142,144,on-time,del,hyd
1995-01-16,joshua,phillips,4,256,110,146,on-time,hyd,bom
1995-01-17,chase,aguirre,5,283,271,12,on-time,ccu,goi
1995-01-18,sarah,rojas,7,276,264,12,on-time,blr,maa
1995-01-19,kenneth,romero,5,113,101,12,on-time,trv,amd
1995-01-20,angel,russell,8,152,76,76,delayed,blr,trv
1995-01-21,robin,walsh,7,73,33,40,delayed,blr,ccu
1995-01-22,kathryn,potter,9,158,46,112,on-time,amd,goi
1995-01-23,mark,hunt,8,114,100,14,delayed,bom,trv
1995-01-24,jacob,walters,6,246,194,52,on-time,bom,maa
1995-01-25,gary,cook,7,90,59,31,delayed,hyd,trv
1995-01-26,kyle,cherry,5,179,57,122,on-time,goi,ccu
1995-01-27,cody,moore,5,145,127,18,delayed,goi,trv
1995-01-28,sandra,farmer,4,203,112,91,on-time,del,blr
1995-01-29,robert,murray,6,274,242,32,on-time,ccu,del
1995-01-30,louis,hoffman,5,274,175,99,delayed,bom,goi
1995-01-31,patrick,williams,4,300,94,206,delayed,cok,trv
1995-02-01,kevin,lawson,5,117,97,20,on-time,ccu,trv
1995-02-02,christine,hudson,9,226,81,145,on-time,amd,maa
1995-02-03,valerie,clayton,7,280,162,118,on-time,bom,hyd
1995-02-04,curtis,jones,5,66,51,15,delayed,trv,goi
1995-02-05,maria,edwards,5,200,86,114,delayed,bom,del
1995-02-06,tiffany,jenkins,5,67,32,35,on-time,bom,trv
1995-02-07,michelle,page,5,121,115,6,on-time,ccu,trv
1995-02-08,spencer,wilson,5,235,176,59,on-time,ccu,goi
1995-02-09,jacob,molina,7,98,42,56,delayed,amd,maa
1995-02-10,erik,jones,7,155,89,66,delayed,bom,del
1995-02-11,sally,morrison,7,236,116,120,delayed,ccu,hyd
1995-02-12,clinton,sandoval,5,187,144,43,delayed,amd,blr
1995-02-13,jennifer,gray,6,168,93,75,delayed,cok,trv
1995-02-14,joshua,herman,4,62,30,32,delayed,ccu,blr
1995-02-15,karla,clark,7,174,153,21,delayed,amd,del
1995-02-16,michael,carlson,5,147,30,117,on-time,hyd,goi
1995-02-17,katherine,young,6,158,154,4,delayed,ccu,maa
1995-02-18,matthew,liu,5,297,59,238,delayed,maa,del
1995-02-19,tamara,gates,4,199,152,47,delayed,del,trv
1995-02-20,eric,schmidt,4,267,77,190,delayed,trv,bom
1995-02-21,jeremy,williams,9,270,90,180,on-time,bom,hyd
1995-02-22,john,glenn,8,202,40,162,delayed,amd,trv
1995-02-23,justin,vazquez,6,289,163,126,delayed,maa,ccu
1995-02-24,matthew,larson,6,151,46,105,on-time,cok,maa
1995-02-25,robert,smith,4,52,44,8,delayed,bom,trv
1995-02-26,toni,rodriguez,5,179,97,82,delayed,maa,bom
1995-02-27,regina,conway,5,144,66,78,delayed,cok,trv
1995-02-28,maria,williams,9,127,108,19,delayed,goi,hyd
1995-03-01,george,glenn,9,76,38,38,on-time,bom,blr
1995-03-02,katherine,peck,9,191,69,122,on-time,hyd,ccu
1995-03-03,johnathan,sosa,9,137,56,81,on-time,goi,cok
1995-03-04,beverly,miller,6,281,262,19,delayed,bom,cok
1995-03-05,brian,ryan,6,61,30,31,on-time,blr,maa
1995-03-06,devin,king,5,239,143,96,on-time,goi,del
1995-03-07,kevin,brown,4,69,39,30,delayed,maa,trv
1995-03-08,rachel,gomez,5,160,62,98,delayed,hyd,amd
1995-03-09,crystal,brady,4,280,121,159,delayed,ccu,bom
1995-03-10,amy,murray,6,249,173,76,on-time,trv,blr
1995-03-11,lauren,cummings,5,271,71,200,delayed,amd,del
1995-03-12,ashley,shea,5,238,115,123,on-time,ccu,maa
1995-03-13,shelby,schmidt,5,251,209,42,delayed,amd,del
1995-03-14,linda,nicholson,7,106,55,51,on-time,maa,hyd
1995-03-15,kathryn,garcia,5,107,33,74,delayed,amd,maa
1995-03-16,christina,haynes,6,271,47,224,on-time,maa,trv
1995-03-17,lori,rodriguez,7,223,167,56,on-time,del,blr
1995-03-18,stephanie,hughes,6,95,63,32,delayed,bom,cok
1995-03-19,andrea,tyler,6,236,231,5,on-time,amd,trv
1995-03-20,lauren,gonzales,4,148,145,3,delayed,hyd,del
1995-03-21,elizabeth,zavala,9,161,30,131,delayed,maa,cok
1995-03-22,tyrone,moreno,4,292,199,93,on-time,bom,maa
1995-03-23,aaron,lopez,8,129,115,14,on-time,maa,cok
1995-03-24,vanessa,ellis,9,125,100,25,delayed,ccu,cok
1995-03-25,jason,gonzalez,9,290,224,66,delayed,trv,hyd
1995-03-26,jeffrey,shaffer,7,190,30,160,on-time,hyd,ccu
1995-03-27,gabrielle,young,7,251,178,73,on-time,cok,goi
1995-03-28,alexander,brown,7,222,84,138,on-time,blr,bom
1995-03-29,dylan,thompson,6,181,115,66,delayed,ccu,maa
1995-03-30,william,good,5,256,80,176,delayed,del,bom
1995-03-31,julie,phillips,5,171,48,123,on-time,amd,ccu
1995-04-01,steven,stewart,9,228,128,100,on-time,amd,ccu
1995-04-02,deanna,edwards,5,217,206,11,delayed,bom,cok
1995-04-03,margaret,thompson,5,95,89,6,delayed,goi,ccu
1995-04-04,mark,wilson,4,166,64,102,on-time,goi,trv
1995-04-05,david,mcguire,8,131,126,5,on-time,trv,goi
1995-04-06,sarah,rhodes,7,262,262,0,on-time,blr,goi
1995-04-07,ryan,oconnor,7,116,61,55,on-time,goi,cok
